ഇന്ത്യയുടെ 2020ലെ റിപ്പബ്ലിക് ദിനത്തിന്റെ തലേന്നാള്‍ രാഷ്ട്രപതി ശ്രീ രാംനാഥ് കോവിന്ദ് നടത്തിയ അഭിസംബോധന,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600560,Posted on: 25 Jan 2020
ബോഡോ കരാര്‍ബോഡോ ജനതയ്ക്ക് പുതിയ തുടക്കത്തിന്റെ നാന്ദി കുറിക്കും; അസമിന്റെഐക്യവും അഖണ്ഡതയും ശക്തിപ്പെടുത്തും: പ്രധാനമന്ത്രി,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601240,Posted on: 30 Jan 2020
പാര്‍ലമെന്റിന്റെ ബജറ്റ് സമ്മേളനത്തില്‍ എല്ലാവിഷയങ്ങളിലുംതുറന്ന ചര്‍ച്ചയ്ക്ക് ഗവണ്‍മെന്റ് തയ്യാറെന്ന്പ്രധാനമന്ത്രി,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601241,Posted on: 30 Jan 2020
"ബസന്ത് പഞ്ചമി, സരസ്വതി പൂജഎന്നീ ആഘോഷവേളയില്‍ പ്രധാനമന്ത്രിരാഷ്ട്രത്തിന് ആശംസകള്‍ നേര്‍ന്നു",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601243,Posted on: 30 Jan 2020
രാഷ്ട്രപിതാവ്മഹാത്മാഗാന്ധിക്ക്‌രക്തസാക്ഷി ദിനത്തില്‍ പ്രധാനമന്ത്രി ആദരാജ്ഞലികളര്‍പ്പിച്ചു,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601244,Posted on: 30 Jan 2020
പ്രധാനമന്ത്രി ന്യൂഡല്‍ഹിയില്‍ നാഷണല്‍കേഡറ്റ്‌കോറിന്റെറാലിയില്‍ പങ്കെടുത്തു ; യുവഇന്ത്യയുടെഅഭിലാഷങ്ങള്‍ പൂര്‍ത്തീകരിക്കാന്‍ യുവത്വമുള്ള മനോഭാവവുംചിന്തയുംവേണമെന്ന്ആഹ്വാനം ചെയ്തു,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600904,Posted on: 28 Jan 2020
മൂന്നാമത്ആഗോളഉരുളക്കിഴങ്ങ്‌കോണ്‍ക്ലേവിനെ പ്രധാനമന്ത്രി അഭിസംബോധന ചെയ്തു,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600905,Posted on: 28 Jan 2020
പ്രധാനമന്ത്രി ശ്രീ. നരേന്ദ്ര മോദി 2020 ജനുവരി 26ന് വൈകുന്നേരം 6 മണിയ്ക്ക് ഭാരത ജനതയോട് ആകാശവാണിയിലൂടെ നടത്തിയ പ്രത്യേക പ്രക്ഷേപണത്തിന്റെ മലയാള പരിഭാഷ,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600618,Posted on: 26 Jan 2020
പ്രധാനമന്ത്രിയുടെ പ്രിന്‍സിപ്പല്‍ സെക്രട്ടറി കോറോണ വൈറസ് വ്യാപനം സംബന്ധിച്ച് ഉന്നതതല യോഗം സംഘടിപ്പിച്ചു,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600590,Posted on: 25 Jan 2020
2020 ലെ ദേശീയ ബാല പുരസ്‌ക്കാര ജേതാക്കളുമായി പ്രധാനമന്ത്രി കൂടിക്കാഴ്ച നടത്തി,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600455,Posted on: 24 Jan 2020
2020 ലെ ദേശീയ ബാലപുരസ്‌ക്കാര ജേതാക്കളുമായി പ്രധാനമന്ത്രി കൂടിക്കാഴ്ച നടത്തും,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600358,Posted on: 23 Jan 2020
നേതാജി സുഭാഷ് ചന്ദ്ര ബോസിന് അദ്ദേഹത്തിന്റെ ജന്‍മദിനത്തില്‍ പ്രധാനമന്ത്രി പ്രണാമമര്‍പ്പിച്ചു,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600357,Posted on: 23 Jan 2020
32ാമത് പ്രഗതി യോഗം പ്രധാനമന്ത്രിയുടെ അധ്യക്ഷതയില്‍ ചേര്‍ന്നു,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600214,Posted on: 22 Jan 2020
പ്രധാനമന്ത്രി നാളെ പ്രഗതിയിലൂടെയുള്ള 32-ാമത് ആശയവിനിമയത്തിന് അധ്യക്ഷതവഹിക്കും,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600009,Posted on: 21 Jan 2020
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയും നേപ്പാള്‍ പ്രധാനമന്ത്രി കെ പി ശര്‍മഒലിയുംസംയുക്തമായിജോഗ്ബാനി-ബിറാത്നഗര്‍ ചെക്പോസ്റ്റ്ഉദ്ഘാടനം ചെയ്തു.,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600010,Posted on: 21 Jan 2020
ത്രിപുരയുടെസംസ്ഥാന രൂപീകരണ ദിനത്തില്‍ പ്രധാനമന്ത്രിയുടെആശംസ,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600011,Posted on: 21 Jan 2020
സംസ്ഥാന രൂപീകരണ ദിനത്തില്‍മേഘാലയയ്ക്ക് പ്രധാനമന്ത്രിയുടെആശംസകള്‍,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600012,Posted on: 21 Jan 2020
സംസ്ഥാന രൂപീകരണ ദിനത്തില്‍മണിപ്പൂരിന് പ്രധാനമന്ത്രിയുടെആശംസകള്‍,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1600013,Posted on: 21 Jan 2020
